name,price,description,category_id
Perf SP 23127178-001,101000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-002,102000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-003,103000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-004,104000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-005,105000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-006,106000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-007,107000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-008,108000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-009,109000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-010,110000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-011,111000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-012,112000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-013,113000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-014,114000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-015,115000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-016,116000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-017,117000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-018,118000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-019,119000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-020,120000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-021,121000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-022,122000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-023,123000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-024,124000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-025,125000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-026,126000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-027,127000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-028,128000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-029,129000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-030,130000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-031,131000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-032,132000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-033,133000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-034,134000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-035,135000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-036,136000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-037,137000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-038,138000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-039,139000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-040,140000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-041,141000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-042,142000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-043,143000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-044,144000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-045,145000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-046,146000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-047,147000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-048,148000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-049,149000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-050,150000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-051,151000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-052,152000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-053,153000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-054,154000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-055,155000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-056,156000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-057,157000,San pham sinh boi HW05 perf test,1
Perf SP 23127178-058,158000,San pham sinh boi HW05 perf test,2
Perf SP 23127178-059,159000,San pham sinh boi HW05 perf test,3
Perf SP 23127178-060,160000,San pham sinh boi HW05 perf test,1
