iso_time,epoch,node_pid,node_cpu_pct,node_rss_mb,java_cpu_pct,java_rss_mb,load_1m
2026-08-15T07:49:51Z,1786780191,68034,0.0,19.3,0.0,3.4,1.79
2026-08-15T07:49:53Z,1786780193,68034,1.8,32.5,13.7,214.9,1.79
2026-08-15T07:49:55Z,1786780195,68034,1.1,33.7,4.6,216.9,2.04
2026-08-15T07:49:57Z,1786780197,68034,2.4,36.2,4.6,216.0,2.04
2026-08-15T07:49:59Z,1786780199,68034,3.2,39.0,5.1,216.5,2.36
2026-08-15T07:50:01Z,1786780201,68034,5.0,43.1,7.6,209.8,2.36
2026-08-15T07:50:04Z,1786780204,68034,2.8,46.8,3.8,208.8,2.65
2026-08-15T07:50:06Z,1786780206,68034,5.7,51.0,7.9,217.7,2.65
2026-08-15T07:50:08Z,1786780208,68034,5.0,58.8,11.1,218.8,2.65
2026-08-15T07:50:10Z,1786780210,68034,7.5,60.7,11.2,219.6,2.60
2026-08-15T07:50:12Z,1786780212,68034,6.4,60.8,8.7,220.1,2.60
2026-08-15T07:50:14Z,1786780214,68034,5.0,61.2,2.9,225.0,2.71
2026-08-15T07:50:16Z,1786780216,68034,7.7,61.6,8.4,228.0,2.71
2026-08-15T07:50:18Z,1786780218,68034,11.4,58.7,9.3,112.2,2.71
2026-08-15T07:50:20Z,1786780220,68034,10.1,58.1,5.4,112.4,2.97
2026-08-15T07:50:23Z,1786780223,68034,9.3,59.8,6.9,124.2,2.97
2026-08-15T07:50:25Z,1786780225,68034,9.8,62.0,15.4,136.1,2.98
2026-08-15T07:50:27Z,1786780227,68034,8.1,64.0,8.1,145.9,2.98
2026-08-15T07:50:29Z,1786780229,68034,8.1,64.1,4.2,153.5,2.82
2026-08-15T07:50:31Z,1786780231,68034,7.0,59.5,10.3,163.1,2.82
2026-08-15T07:50:33Z,1786780233,68034,10.1,61.5,8.9,174.0,2.82
2026-08-15T07:50:35Z,1786780235,68034,14.0,60.3,5.3,185.7,2.91
2026-08-15T07:50:37Z,1786780237,68034,9.2,61.2,16.4,196.8,2.91
2026-08-15T07:50:39Z,1786780239,68034,11.1,64.1,4.2,209.3,2.76
2026-08-15T07:50:41Z,1786780241,68034,16.3,69.4,7.0,221.5,2.76
2026-08-15T07:50:44Z,1786780244,68034,13.7,75.0,6.8,234.3,2.62
2026-08-15T07:50:46Z,1786780246,68034,14.6,75.2,8.0,245.2,2.62
2026-08-15T07:50:48Z,1786780248,68034,9.8,79.4,7.0,250.0,2.62
2026-08-15T07:50:50Z,1786780250,68034,12.1,80.8,6.5,251.8,2.41
2026-08-15T07:50:52Z,1786780252,68034,14.2,81.0,4.4,243.0,2.41
2026-08-15T07:50:54Z,1786780254,68034,14.1,80.9,5.6,252.7,2.37
2026-08-15T07:50:56Z,1786780256,68034,14.2,80.5,27.1,202.0,2.37
2026-08-15T07:50:58Z,1786780258,68034,13.4,80.1,9.0,209.3,2.37
2026-08-15T07:51:00Z,1786780260,68034,9.0,75.1,1.6,172.2,2.26
2026-08-15T07:51:02Z,1786780262,68034,8.1,75.7,27.8,198.2,2.26
2026-08-15T07:51:05Z,1786780265,68034,11.1,78.9,3.0,211.0,2.32
2026-08-15T07:51:07Z,1786780267,68034,10.9,79.3,8.7,220.1,2.32
2026-08-15T07:51:09Z,1786780269,68034,13.4,78.8,4.9,228.5,2.22
2026-08-15T07:51:11Z,1786780271,68034,10.5,77.8,6.3,225.8,2.22
2026-08-15T07:51:13Z,1786780273,68034,9.6,78.2,7.0,219.7,2.22
2026-08-15T07:51:15Z,1786780275,68034,10.5,77.6,2.4,206.0,2.36
2026-08-15T07:51:17Z,1786780277,68034,15.9,77.4,19.6,214.3,2.36
2026-08-15T07:51:19Z,1786780279,68034,9.1,74.8,19.7,189.5,2.49
2026-08-15T07:51:21Z,1786780281,68034,10.1,77.2,1.5,178.4,2.49
2026-08-15T07:51:23Z,1786780283,68034,9.1,79.4,2.5,189.7,2.49
2026-08-15T07:51:26Z,1786780286,68034,8.7,80.7,2.8,200.5,2.29
2026-08-15T07:51:28Z,1786780288,68034,9.1,80.0,7.1,215.0,2.29
2026-08-15T07:51:30Z,1786780290,68034,11.0,79.9,1.7,231.9,2.35
2026-08-15T07:51:32Z,1786780292,68034,15.3,79.2,3.8,231.4,2.35
2026-08-15T07:51:34Z,1786780294,68034,14.6,79.6,3.8,245.2,2.32
2026-08-15T07:51:36Z,1786780296,68034,16.6,79.2,4.3,256.0,2.32
2026-08-15T07:51:38Z,1786780298,68034,10.9,78.4,7.0,262.9,2.32
2026-08-15T07:51:40Z,1786780300,68034,8.3,76.6,2.2,262.3,2.29
2026-08-15T07:51:42Z,1786780302,68034,7.8,76.3,31.2,269.2,2.29
2026-08-15T07:51:44Z,1786780304,68034,11.9,78.1,31.6,264.2,2.11
2026-08-15T07:51:46Z,1786780306,68034,8.9,74.2,25.1,203.9,2.11
2026-08-15T07:51:49Z,1786780309,68034,12.7,77.4,1.3,211.5,2.11
2026-08-15T07:51:51Z,1786780311,68034,8.2,78.1,1.7,146.0,2.26
2026-08-15T07:51:53Z,1786780313,68034,13.2,76.8,1.3,147.2,2.26
2026-08-15T07:51:55Z,1786780315,68034,13.5,75.5,1.6,138.3,2.32
2026-08-15T07:51:57Z,1786780317,68034,12.9,77.0,4.4,105.9,2.32
2026-08-15T07:51:59Z,1786780319,68034,12.5,77.5,7.0,116.6,2.13
2026-08-15T07:52:01Z,1786780321,68034,10.4,80.6,22.6,149.3,2.13
2026-08-15T07:52:03Z,1786780323,68034,14.5,80.6,3.1,166.3,2.13
2026-08-15T07:52:06Z,1786780326,68034,18.8,81.3,3.4,174.8,2.04
2026-08-15T07:52:08Z,1786780328,68034,13.3,80.4,1.0,175.8,2.04
2026-08-15T07:52:10Z,1786780330,68034,9.6,80.0,1.1,182.5,1.96
2026-08-15T07:52:12Z,1786780332,68034,8.9,74.3,1.7,140.1,1.96
2026-08-15T07:52:14Z,1786780334,68034,11.7,74.8,1.0,108.3,1.96
2026-08-15T07:52:16Z,1786780336,68034,10.9,74.8,6.5,114.0,1.96
2026-08-15T07:52:18Z,1786780338,68034,13.3,78.1,2.4,113.9,1.96
2026-08-15T07:52:20Z,1786780340,68034,13.0,67.5,1.3,90.1,1.88
2026-08-15T07:52:22Z,1786780342,68034,11.2,75.3,0.8,100.7,1.88
2026-08-15T07:52:24Z,1786780344,68034,10.4,76.8,1.3,114.4,1.97
2026-08-15T07:52:26Z,1786780346,68034,9.2,76.9,0.7,114.7,1.97
2026-08-15T07:52:29Z,1786780349,68034,9.8,76.6,1.5,121.4,1.97
2026-08-15T07:52:31Z,1786780351,68034,12.7,58.2,1.6,103.4,2.22
2026-08-15T07:52:33Z,1786780353,68034,10.3,63.0,1.5,69.3,2.22
2026-08-15T07:52:35Z,1786780355,68034,14.6,71.2,2.9,108.1,2.36
2026-08-15T07:52:37Z,1786780357,68034,16.6,71.3,2.5,116.1,2.36
2026-08-15T07:52:39Z,1786780359,68034,14.7,67.1,2.2,103.2,2.33
2026-08-15T07:52:41Z,1786780361,68034,8.5,58.1,1.1,72.4,2.33
2026-08-15T07:52:43Z,1786780363,68034,10.2,73.6,1.3,86.7,2.33
2026-08-15T07:52:45Z,1786780365,68034,10.9,71.0,1.6,90.7,2.22
2026-08-15T07:52:48Z,1786780368,68034,14.1,76.5,3.7,105.5,2.22
2026-08-15T07:52:50Z,1786780370,68034,11.8,78.8,1.5,116.7,2.44
2026-08-15T07:52:52Z,1786780372,68034,10.6,68.0,2.2,89.6,2.44
2026-08-15T07:52:54Z,1786780374,68034,10.3,72.8,2.3,101.1,2.25
2026-08-15T07:52:56Z,1786780376,68034,9.9,62.4,2.0,89.8,2.25
2026-08-15T07:52:58Z,1786780378,68034,10.3,62.4,2.0,73.0,2.25
2026-08-15T07:53:00Z,1786780380,68034,12.4,69.7,2.4,85.6,2.15
