iso_time,epoch,node_pid,node_cpu_pct,node_rss_mb,java_cpu_pct,java_rss_mb,load_1m
2026-08-14T16:50:46Z,1786726246,68034,0.0,17.1,0.0,3.4,2.85
2026-08-14T16:50:48Z,1786726248,68034,0.9,31.1,114.2,260.6,2.85
2026-08-14T16:50:50Z,1786726250,68034,2.6,36.2,3.9,240.8,2.86
2026-08-14T16:50:52Z,1786726252,68034,5.9,44.7,11.7,227.2,2.86
2026-08-14T16:50:54Z,1786726254,68034,6.6,58.9,11.4,222.1,2.86
2026-08-14T16:50:57Z,1786726257,68034,7.5,48.1,8.9,104.1,2.95
2026-08-14T16:50:59Z,1786726259,68034,9.0,46.4,10.6,150.3,2.95
2026-08-14T16:51:01Z,1786726261,68034,12.5,50.9,17.0,183.2,2.87
2026-08-14T16:51:03Z,1786726263,68034,15.5,56.5,12.1,184.8,2.87
2026-08-14T16:51:05Z,1786726265,68034,15.1,60.5,6.2,185.7,3.04
2026-08-14T16:51:07Z,1786726267,68034,15.3,59.4,17.1,203.2,3.04
2026-08-14T16:51:09Z,1786726269,68034,17.0,67.8,19.6,220.7,3.04
2026-08-14T16:51:11Z,1786726271,68034,19.3,69.3,9.5,149.3,2.96
2026-08-14T16:51:14Z,1786726274,68034,22.1,76.2,10.9,183.0,2.96
2026-08-14T16:51:16Z,1786726276,68034,22.6,76.5,18.2,193.3,3.12
2026-08-14T16:51:18Z,1786726278,68034,21.5,77.3,9.7,223.7,3.12
2026-08-14T16:51:20Z,1786726280,68034,18.4,78.5,9.1,264.5,3.12
2026-08-14T16:51:22Z,1786726282,68034,17.2,81.8,12.2,296.7,3.59
2026-08-14T16:51:24Z,1786726284,68034,19.7,78.4,4.5,319.7,3.59
2026-08-14T16:51:26Z,1786726286,68034,19.5,78.9,32.4,265.6,3.47
2026-08-14T16:51:28Z,1786726288,68034,16.5,79.6,7.5,195.7,3.47
2026-08-14T16:51:30Z,1786726290,68034,22.3,72.6,5.9,152.4,3.51
2026-08-14T16:51:33Z,1786726293,68034,21.3,78.0,6.8,150.5,3.51
2026-08-14T16:51:35Z,1786726295,68034,18.8,78.8,10.1,158.9,3.51
2026-08-14T16:51:37Z,1786726297,68034,18.5,75.0,59.5,171.8,3.95
2026-08-14T16:51:39Z,1786726299,68034,25.2,74.2,5.2,187.5,3.95
2026-08-14T16:51:41Z,1786726301,68034,19.2,76.5,16.1,156.7,3.95
2026-08-14T16:51:43Z,1786726303,68034,20.9,78.1,18.7,163.7,3.95
2026-08-14T16:51:45Z,1786726305,68034,21.2,78.2,4.5,157.1,4.12
2026-08-14T16:51:47Z,1786726307,68034,16.4,77.7,3.1,167.8,4.12
2026-08-14T16:51:49Z,1786726309,68034,23.4,75.0,33.0,162.2,4.12
2026-08-14T16:51:52Z,1786726312,68034,18.9,77.1,3.4,178.5,4.35
2026-08-14T16:51:54Z,1786726314,68034,20.3,78.5,3.9,163.3,4.35
2026-08-14T16:51:56Z,1786726316,68034,23.1,75.5,20.1,174.2,4.32
2026-08-14T16:51:58Z,1786726318,68034,23.0,78.8,5.1,189.5,4.32
2026-08-14T16:52:00Z,1786726320,68034,20.8,82.2,4.0,213.0,4.32
2026-08-14T16:52:02Z,1786726322,68034,18.2,78.3,3.6,229.3,4.13
2026-08-14T16:52:04Z,1786726324,68034,28.7,80.8,5.7,234.1,4.13
2026-08-14T16:52:06Z,1786726326,68034,23.1,78.9,8.3,223.8,4.20
2026-08-14T16:52:08Z,1786726328,68034,22.0,76.7,3.9,210.1,4.20
2026-08-14T16:52:11Z,1786726331,68034,23.4,79.4,5.1,205.2,4.02
2026-08-14T16:52:13Z,1786726333,68034,24.4,77.2,4.1,221.4,4.02
2026-08-14T16:52:15Z,1786726335,68034,17.9,77.3,4.0,211.2,4.02
2026-08-14T16:52:17Z,1786726337,68034,18.3,79.3,3.3,217.5,4.18
2026-08-14T16:52:19Z,1786726339,68034,23.6,78.6,5.6,177.8,4.18
2026-08-14T16:52:21Z,1786726341,68034,23.9,74.3,6.0,167.3,4.73
2026-08-14T16:52:23Z,1786726343,68034,26.5,77.8,4.9,159.1,4.73
2026-08-14T16:52:25Z,1786726345,68034,21.1,76.9,9.3,209.3,4.83
2026-08-14T16:52:28Z,1786726348,68034,21.8,78.3,3.3,197.7,4.83
2026-08-14T16:52:30Z,1786726350,68034,20.2,77.9,4.4,225.6,4.83
2026-08-14T16:52:32Z,1786726352,68034,19.8,69.8,4.0,157.0,4.76
2026-08-14T16:52:34Z,1786726354,68034,20.5,73.3,3.2,119.1,4.76
2026-08-14T16:52:36Z,1786726356,68034,27.5,79.8,5.2,147.3,4.62
2026-08-14T16:52:38Z,1786726358,68034,24.8,76.8,4.3,176.5,4.62
2026-08-14T16:52:40Z,1786726360,68034,26.9,78.8,5.5,205.0,4.41
2026-08-14T16:52:42Z,1786726362,68034,18.0,81.2,2.5,232.2,4.41
2026-08-14T16:52:44Z,1786726364,68034,23.4,71.1,4.1,224.9,4.41
2026-08-14T16:52:47Z,1786726367,68034,25.5,79.3,4.9,210.0,4.38
2026-08-14T16:52:49Z,1786726369,68034,24.9,80.8,4.4,236.7,4.38
